steamID/appID,steamid,appid,playtime_forever,achievements
76561198008911412/98400,76561198008911412,98400,563,0.4260869565217391
76561198008911412/209080,76561198008911412,209080,0,0.0
76561198008911412/50650,76561198008911412,50650,2465,0.68
76561198008911412/11450,76561198008911412,11450,0,
76561198008911412/12710,76561198008911412,12710,0,
76561198008911412/202970,76561198008911412,202970,816,0.5714285714285714
76561198008911412/202990,76561198008911412,202990,29887,0.6
76561198008911412/212910,76561198008911412,212910,22,0.0
76561198008911412/200510,76561198008911412,200510,1553,0.4823529411764706
76561198008911412/57690,76561198008911412,57690,0,0.0
76561198008911412/55230,76561198008911412,55230,2724,0.6144578313253012
76561198008911412/220240,76561198008911412,220240,1978,
76561198008911412/203140,76561198008911412,203140,2164,0.851063829787234
76561198008911412/205930,76561198008911412,205930,124,
76561198008911412/25890,76561198008911412,25890,0,
76561198008911412/4570,76561198008911412,4570,611,
76561198008911412/220440,76561198008911412,220440,252,0.1896551724137931
76561198008911412/9310,76561198008911412,9310,171,
76561198008911412/203160,76561198008911412,203160,1070,0.58
76561198008911412/202130,76561198008911412,202130,0,0.0
76561198008911412/224580,76561198008911412,224580,194,
76561198008911412/221040,76561198008911412,221040,0,0.0
76561198008911412/1500,76561198008911412,1500,0,
76561198008911412/1510,76561198008911412,1510,87,
76561198008911412/1520,76561198008911412,1520,37,0.0
76561198008911412/1530,76561198008911412,1530,37,0.0
76561198008911412/233450,76561198008911412,233450,3273,0.0
76561198008911412/220660,76561198008911412,220660,0,
76561198008911412/43160,76561198008911412,43160,3133,0.8
76561198008911412/44350,76561198008911412,44350,0,0.0
76561198008911412/222480,76561198008911412,222480,0,0.0
76561198008911412/72850,76561198008911412,72850,11924,0.8533333333333334
76561198008911412/234650,76561198008911412,234650,684,
76561198008911412/233270,76561198008911412,233270,422,
76561198008911412/65930,76561198008911412,65930,0,0.0
76561198008911412/228300,76561198008911412,228300,316,0.2
76561198008911412/231430,76561198008911412,231430,2031,0.15486725663716813
76561198008911412/35450,76561198008911412,35450,4978,0.2785714285714286
76561198008911412/231740,76561198008911412,231740,12,0.0
76561198008911412/236850,76561198008911412,236850,0,0.0
76561198008911412/242920,76561198008911412,242920,977,0.4166666666666667
76561198008911412/12100,76561198008911412,12100,360,
76561198008911412/12110,76561198008911412,12110,5,
76561198008911412/12120,76561198008911412,12120,16,
76561198008911412/12210,76561198008911412,12210,0,
76561198008911412/12220,76561198008911412,12220,0,
76561198008911412/12230,76561198008911412,12230,0,
76561198008911412/12240,76561198008911412,12240,0,
76561198008911412/12250,76561198008911412,12250,0,
76561198008911412/206420,76561198008911412,206420,1774,0.4246575342465753
76561198008911412/91310,76561198008911412,91310,1468,0.5625
76561198008911412/216250,76561198008911412,216250,1486,0.6
76561198008911412/214950,76561198008911412,214950,15726,0.41333333333333333
76561198008911412/247020,76561198008911412,247020,7,0.0
76561198008911412/239030,76561198008911412,239030,6,0.0
76561198008911412/218620,76561198008911412,218620,3608,0.06170598911070781
76561198008911412/205100,76561198008911412,205100,1593,0.45
76561198008911412/92800,76561198008911412,92800,0,0.0
76561198008911412/226960,76561198008911412,226960,273,1.0
76561198008911412/243800,76561198008911412,243800,138,0.09523809523809523
76561198008911412/255220,76561198008911412,255220,0,0.0
76561198008911412/243040,76561198008911412,243040,0,
76561198008911412/247660,76561198008911412,247660,0,0.0
76561198008911412/243470,76561198008911412,243470,3843,
76561198008911412/261640,76561198008911412,261640,0,0.0
76561198008911412/264140,76561198008911412,264140,98,0.3333333333333333
76561198008911412/215530,76561198008911412,215530,1166,0.6736842105263158
76561198008911412/221100,76561198008911412,221100,37,
76561198008911412/7670,76561198008911412,7670,140,
76561198008911412/8850,76561198008911412,8850,0,0.0
76561198008911412/8870,76561198008911412,8870,0,0.0
76561198008911412/409710,76561198008911412,409710,0,0.0
76561198008911412/409720,76561198008911412,409720,0,0.0
76561198008911412/272470,76561198008911412,272470,166,0.015873015873015872
76561198008911412/239160,76561198008911412,239160,1844,0.5405405405405406
76561198008911412/236130,76561198008911412,236130,0,0.0
76561198008911412/254700,76561198008911412,254700,0,0.0
76561198008911412/235210,76561198008911412,235210,6,0.0
76561198008911412/8880,76561198008911412,8880,0,
76561198008911412/8890,76561198008911412,8890,0,
76561198008911412/287260,76561198008911412,287260,314,0.875
76561198008911412/287340,76561198008911412,287340,1,0.0
76561198008911412/233290,76561198008911412,233290,565,0.8541666666666666
76561198008911412/291710,76561198008911412,291710,0,0.0
76561198008911412/201810,76561198008911412,201810,1494,0.86
76561198008911412/295270,76561198008911412,295270,71482,0.7238095238095238
76561198008911412/222900,76561198008911412,222900,507,0.18518518518518517
76561198008911412/298630,76561198008911412,298630,175,0.0
76561198008911412/300550,76561198008911412,300550,1105,0.41025641025641024
76561198008911412/65790,76561198008911412,65790,0,
76561198008911412/227940,76561198008911412,227940,0,
76561198008911412/317280,76561198008911412,317280,0,0.0
76561198008911412/238010,76561198008911412,238010,1868,0.6610169491525424
76561198008911412/8080,76561198008911412,8080,145,
76561198008911412/28000,76561198008911412,28000,310,0.2542372881355932
76561198008911412/321040,76561198008911412,321040,0,0.0
76561198008911412/226720,76561198008911412,226720,1321,0.7
