steamID/appID,steamid,appid,playtime_forever,genres
76561198008911412/8190,2,8190,69,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
76561198008911412/24980,2,24980,0,"['RPG', 'Single-player']"
76561198008911412/40100,2,40100,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Stats', 'Steam Leaderboards']"
76561198008911412/43110,2,43110,1301,"['Action', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
76561198008911412/20570,2,20570,372,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']"
76561198008911412/42120,2,42120,7352,"['Action', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/33910,2,33910,78,"['Action', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Captions available', 'Partial Controller Support', 'Includes level editor']"
76561198008911412/33930,2,33930,10,"['Action', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Captions available', 'Partial Controller Support', 'Includes level editor']"
76561198008911412/219540,2,219540,1,
76561198008911412/8930,2,8930,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/42960,2,42960,35,"['Strategy', 'Single-player', 'Multi-player', 'Steam Trading Cards']"
76561198008911412/35130,2,35130,0,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/70900,2,70900,0,"['Indie', 'Strategy', 'Single-player', 'Multi-player']"
76561198008911412/50620,2,50620,1340,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
76561198008911412/462780,2,462780,0,"['Violent', 'Action', 'Adventure', 'RPG', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/1250,2,1250,21655,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']"
76561198008911412/35420,2,35420,105,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Mods']"
76561198008911412/50300,2,50300,457,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/34330,2,34330,6368,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats']"
76561198008911412/56400,2,56400,643,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/44340,2,44340,0,"['Action', 'Strategy', 'Single-player', 'Multi-player', 'Co-op']"
76561198008911412/57900,2,57900,0,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/7610,2,7610,0,"['Strategy', 'Single-player', 'Multi-player']"
76561198008911412/7760,2,7760,0,"['Strategy', 'Single-player']"
76561198008911412/42160,2,42160,0,
76561198008911412/206980,2,206980,0,
76561198008911412/55150,2,55150,586,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
76561198008911412/17710,2,17710,0,"['Action', 'Strategy', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes level editor']"
76561198008911412/42680,2,42680,1279,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/42690,2,42690,63028,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/67370,2,67370,0,"['Action', 'Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']"
76561198008911412/203770,2,203770,170,"['RPG', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Steam Trading Cards']"
76561198008911412/201700,2,201700,0,"['Action', 'Racing', 'Sports', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
76561198008911412/108710,2,108710,185,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/207170,2,207170,180,"['Adventure', 'Indie', 'RPG', 'Single-player', 'Steam Achievements', 'Steam Workshop', 'Includes level editor']"
76561198008911412/208670,2,208670,557,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/204100,2,204100,2986,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']"
76561198008911412/12750,2,12750,0,
76561198008911412/11590,2,11590,0,"['Simulation', 'Single-player']"
76561198008911412/12830,2,12830,17,"['Action', 'Single-player', 'Partial Controller Support']"
76561198008911412/12810,2,12810,0,"['RPG', 'Single-player']"
76561198008911412/12770,2,12770,15,"['RPG', 'Single-player', 'Full controller support']"
76561198008911412/215670,2,215670,0,"['Adventure', 'Indie', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
76561198008911412/98400,2,98400,563,"['Action', 'Indie', 'Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']"
76561198008911412/209080,2,209080,0,"['Indie', 'Multi-player']"
76561198008911412/50650,2,50650,2465,"['Action', 'Adventure', 'RPG', 'Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/11450,2,11450,0,"['RPG', 'Single-player', 'Partial Controller Support']"
76561198008911412/12710,2,12710,0,"['RPG', 'Single-player', 'Partial Controller Support']"
76561198008911412/202970,2,202970,816,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
76561198008911412/202990,2,202990,29887,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
76561198008911412/212910,2,212910,22,
76561198008911412/200510,2,200510,1553,"['Strategy', 'Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/57690,2,57690,0,"['Simulation', 'Strategy', 'Single-player', 'Steam Trading Cards']"
76561198008911412/55230,2,55230,2724,"['Action', 'Single-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
76561198008911412/220240,2,220240,1978,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support']"
76561198008911412/203140,2,203140,2164,"['Action', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
76561198008911412/205930,2,205930,124,
76561198008911412/25890,2,25890,0,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Trading Cards']"
76561198008911412/4570,2,4570,611,"['Strategy', 'Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/220440,2,220440,252,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/9310,2,9310,171,"['Strategy', 'Single-player', 'Multi-player']"
76561198008911412/203160,2,203160,1070,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/202130,2,202130,0,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud']"
76561198008911412/224580,2,224580,194,"['Action', 'Simulation', 'Strategy', 'Multi-player', 'Co-op', 'Partial Controller Support']"
76561198008911412/221040,2,221040,0,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
76561198008911412/1500,2,1500,0,"['Indie', 'Strategy', 'Single-player']"
76561198008911412/1510,2,1510,87,"['Indie', 'Strategy', 'Single-player']"
76561198008911412/1520,2,1520,37,"['Indie', 'Strategy', 'Single-player', 'Multi-player']"
76561198008911412/1530,2,1530,37,"['Indie', 'Single-player', 'Multi-player', 'Steam Achievements']"
76561198008911412/233450,2,233450,3273,"['Indie', 'Simulation', 'Strategy', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']"
76561198008911412/220660,2,220660,0,"['Indie', 'Strategy', 'Single-player', 'Steam Trading Cards']"
76561198008911412/43160,2,43160,3133,"['Action', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/44350,2,44350,0,"['Racing', 'Sports', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
76561198008911412/222480,2,222480,0,"['Action', 'Adventure', 'Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/72850,2,72850,11924,"['RPG', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud']"
76561198008911412/234650,2,234650,684,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Single-player', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']"
76561198008911412/233270,2,233270,422,"['Action', 'Adventure', 'Single-player', 'Steam Trading Cards', 'Partial Controller Support']"
76561198008911412/65930,2,65930,0,"['Action', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/228300,2,228300,316,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/231430,2,231430,2031,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']"
76561198008911412/35450,2,35450,4978,"['Action', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']"
76561198008911412/231740,2,231740,12,"['Indie', 'RPG', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']"
76561198008911412/236850,2,236850,0,"['Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
76561198008911412/242920,2,242920,977,"['Indie', 'Simulation', 'Strategy', 'Single-player', 'Steam Achievements']"
76561198008911412/12100,2,12100,360,"['Action', 'Single-player', 'Partial Controller Support']"
76561198008911412/12110,2,12110,5,"['Action', 'Single-player', 'Partial Controller Support']"
76561198008911412/12120,2,12120,16,"['Action', 'Single-player']"
76561198008911412/12210,2,12210,0,
76561198008911412/12220,2,12220,0,"['Action', 'Single-player', 'Multi-player']"
76561198008911412/12230,2,12230,0,"['Action', 'Single-player', 'Partial Controller Support']"
76561198008911412/12240,2,12240,0,"['Action', 'Single-player', 'Partial Controller Support']"
76561198008911412/12250,2,12250,0,"['Action', 'Single-player']"
76561198008911412/206420,2,206420,1774,"['Action', 'Adventure', 'Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
76561198008911412/91310,2,91310,1468,
76561198008911412/216250,2,216250,1486,
76561198008911412/214950,2,214950,15726,"['Strategy', 'Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/247020,2,247020,7,"['Action', 'Indie', 'Simulation', 'Strategy', 'Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/239030,2,239030,6,"['Adventure', 'Indie', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/218620,2,218620,3608,"['Action', 'RPG', 'Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']"
76561198008911412/205100,2,205100,1593,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
76561198008911412/92800,2,92800,0,"['Indie', 'Simulation', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']"
76561198008911412/226960,2,226960,273,"['Casual', 'Indie', 'Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/243800,2,243800,138,"['Action', 'Racing', 'Sports', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards']"
76561198008911412/255220,2,255220,0,"['Racing', 'Sports', 'Single-player', 'Multi-player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
76561198008911412/243040,2,243040,0,"['Simulation', 'Single-player']"
76561198008911412/247660,2,247660,0,"['Nudity', 'Violent', 'Gore', 'Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
76561198008911412/243470,2,243470,3843,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Steam Trading Cards', 'Partial Controller Support']"
76561198008911412/261640,2,261640,0,"['Action', 'RPG', 'Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/264140,2,264140,98,"['Adventure', 'Indie', 'RPG', 'Simulation', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']"
76561198008911412/215530,2,215530,1166,"['Action', 'Adventure', 'Indie', 'RPG', 'Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
