"Tidstämpel","Please enter your Steam Community ID","Please rate the following games [The Elder Scrolls V: Skyrim]","Please rate the following games [Rocket League®]","Please rate the following games [Counter-Strike: Global Offensive]","Please rate the following games [Grand Theft Auto V]","Please rate the following games [RimWorld]","Please rate the following games [Tropico 5]","Please rate the following games [The Witcher® 3: Wild Hunt]","Please rate the following games [Football Manager 2017]","Please rate the following games [Sid Meier’s Civilization® VI]","Please rate the following games [The Sims™ 3]","Please rate the following games [Dota 2]","Please rate the following games [XCOM® 2]","Please rate the following games [Tom Clancy's Rainbow Six® Siege]","Please rate the following games [ARK: Survival Evolved]","Please rate the following games [EVE Online]","Please rate the following games [Orcs Must Die!]","Please rate the following games [DOOM]","Please rate the following games [TowerFall Ascension]","Please rate the following games [Worms Ultimate Mayhem]","Please rate the following games [Portal 2]"
"2017/01/29 6:59:38 em CET","76561198253539863","Liked","Liked strongly","Liked","Liked strongly","Haven't played / No opinion","Liked strongly","Liked strongly","Haven't played / No opinion","Liked strongly","Liked","Haven't played / No opinion","Liked strongly","Liked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly","Liked strongly","Haven't played / No opinion","Liked strongly"
"2017/01/29 7:01:42 em CET","76561198099804894","Liked","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Disliked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 7:03:03 em CET","76561198086906268","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Liked strongly","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam"
"2017/01/29 7:31:04 em CET","76561197993193045","Liked strongly","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Liked strongly","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked strongly","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 7:32:03 em CET","76561197964755383","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 8:02:51 em CET","76561198077346321","Haven't played / No opinion","Liked strongly","Liked strongly","Liked strongly","Disliked","Haven't played / No opinion","Liked strongly","Disliked strongly","Haven't played / No opinion","Haven't played / No opinion","Liked slightly","Liked","Liked strongly","Liked","Liked slightly","Disliked","Liked strongly","Haven't played / No opinion","Disliked","Liked strongly"
"2017/01/29 8:14:52 em CET","76561198104867238","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 8:39:32 em CET","76561197983118326","Liked strongly","Liked","Disliked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Disliked strongly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked","Liked","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly"
"2017/01/29 9:10:02 em CET","76561198037439688","Disliked","Liked slightly","Disliked strongly","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Liked","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked"
"2017/01/29 9:36:42 em CET","76561197960287930","Don't own this game on steam","Liked strongly","Liked strongly","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked"
"2017/01/29 9:49:27 em CET","76561198039365598","Liked strongly","Liked","Liked strongly","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly","Don't own this game on steam","Don't own this game on steam","Liked strongly","Liked strongly","Don't own this game on steam","Liked"
"2017/01/29 10:27:07 em CET","76561198120899895","Don't own this game on steam","Don't own this game on steam","Liked strongly","Liked","Don't own this game on steam","Don't own this game on steam","Liked slightly","Don't own this game on steam","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/29 10:45:31 em CET","11111111111111111","Liked","Disliked","Don't own this game on steam","Liked strongly","Liked strongly","Liked","Liked strongly","Don't own this game on steam","Liked","Liked","Don't own this game on steam","Liked strongly","Don't own this game on steam","Disliked strongly","Disliked","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly"
